t=2026-06-06T20:11:12+0600 lvl=info msg="no configuration paths supplied"
t=2026-06-06T20:11:12+0600 lvl=info msg="using configuration at default config path" path=C:\\Users\\User\\AppData\\Local\\ngrok\\ngrok.yml
t=2026-06-06T20:11:12+0600 lvl=info msg="open config file" path=C:\\Users\\User\\AppData\\Local\\ngrok\\ngrok.yml err=nil
t=2026-06-06T20:11:12+0600 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-06-06T20:11:12+0600 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-06-06T20:11:13+0600 lvl=info msg="client session established" obj=tunnels.session
t=2026-06-06T20:11:13+0600 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-06-06T20:23:40+0600 lvl=info msg="join connections" obj=join id=1c3db3011095 l=[::1]:5173 r=178.217.173.234:55841
t=2026-06-06T20:23:40+0600 lvl=info msg="join connections" obj=join id=7ea200e0319c l=[::1]:5173 r=178.217.173.234:55985
t=2026-06-06T20:23:40+0600 lvl=info msg="join connections" obj=join id=9f4ff926a4cf l=[::1]:5173 r=178.217.173.234:55985
t=2026-06-06T20:23:40+0600 lvl=info msg="join connections" obj=join id=c5a24522991c l=[::1]:5173 r=46.251.201.162:61852
t=2026-06-06T20:23:41+0600 lvl=info msg="join connections" obj=join id=57901bbcff56 l=[::1]:5173 r=178.217.173.234:57860
t=2026-06-06T20:23:53+0600 lvl=info msg="join connections" obj=join id=12946c732c79 l=[::1]:5173 r=46.251.201.162:61852
t=2026-06-06T20:23:56+0600 lvl=info msg="join connections" obj=join id=7caf4ab7ac79 l=[::1]:5173 r=178.217.173.234:55985
t=2026-06-06T20:23:57+0600 lvl=info msg="join connections" obj=join id=c2fac895af6b l=[::1]:5173 r=46.251.201.162:61870
t=2026-06-06T20:23:57+0600 lvl=info msg="join connections" obj=join id=200c0d1666b9 l=[::1]:5173 r=178.217.173.234:49979
t=2026-06-06T20:24:01+0600 lvl=info msg="join connections" obj=join id=b2ac3dcc7c92 l=[::1]:5173 r=178.217.173.234:55841
t=2026-06-06T20:24:01+0600 lvl=info msg="join connections" obj=join id=45146eedfc8e l=[::1]:5173 r=178.217.173.234:56080
t=2026-06-06T20:24:17+0600 lvl=info msg="join connections" obj=join id=05dcfa2bfa0e l=[::1]:5173 r=178.217.173.234:55841
t=2026-06-06T20:24:42+0600 lvl=info msg="join connections" obj=join id=98b99f2d27ce l=[::1]:5173 r=178.217.173.234:55841
t=2026-06-06T20:24:42+0600 lvl=info msg="join connections" obj=join id=77028b468b43 l=[::1]:5173 r=178.217.173.234:55841
t=2026-06-06T20:24:42+0600 lvl=info msg="join connections" obj=join id=80f70f0c8688 l=[::1]:5173 r=178.217.173.234:55841
t=2026-06-06T20:24:42+0600 lvl=info msg="join connections" obj=join id=f0b398ea12fc l=[::1]:5173 r=178.217.173.234:55841
t=2026-06-06T20:24:42+0600 lvl=info msg="join connections" obj=join id=d9cd96a99eb5 l=[::1]:5173 r=178.217.173.234:55841
t=2026-06-06T20:24:42+0600 lvl=info msg="join connections" obj=join id=a343348ed575 l=[::1]:5173 r=178.217.173.234:55841
t=2026-06-06T20:24:42+0600 lvl=info msg="join connections" obj=join id=9cd0492a0b23 l=[::1]:5173 r=178.217.173.234:55841
t=2026-06-06T20:24:42+0600 lvl=info msg="join connections" obj=join id=6b17850f0122 l=[::1]:5173 r=178.217.173.234:55841
t=2026-06-06T20:24:46+0600 lvl=info msg="join connections" obj=join id=3e0737e8035b l=[::1]:5173 r=178.217.173.234:58307
t=2026-06-06T20:24:46+0600 lvl=info msg="join connections" obj=join id=3f8926df3916 l=[::1]:5173 r=46.251.201.162:61871
t=2026-06-06T20:24:51+0600 lvl=info msg="join connections" obj=join id=b003bd0238b4 l=[::1]:5173 r=178.217.173.234:56105
t=2026-06-06T20:24:59+0600 lvl=info msg="join connections" obj=join id=fc1d6804a155 l=[::1]:5173 r=178.217.173.234:56113
t=2026-06-06T20:24:59+0600 lvl=info msg="join connections" obj=join id=e51161e8f0df l=[::1]:5173 r=46.251.201.162:61872
t=2026-06-06T20:25:00+0600 lvl=info msg="join connections" obj=join id=1f132861dae8 l=[::1]:5173 r=178.217.173.234:51110
t=2026-06-06T20:25:54+0600 lvl=info msg="join connections" obj=join id=c6b575ff992e l=[::1]:5173 r=178.217.173.234:56134
t=2026-06-06T20:25:55+0600 lvl=info msg="join connections" obj=join id=9ae9434b597a l=[::1]:5173 r=178.217.173.234:52185
t=2026-06-06T20:25:55+0600 lvl=info msg="join connections" obj=join id=bb0229981197 l=[::1]:5173 r=46.251.201.162:61873
t=2026-06-06T20:26:10+0600 lvl=info msg="join connections" obj=join id=41e9f4c77f91 l=[::1]:5173 r=178.217.173.234:51495
t=2026-06-06T20:26:16+0600 lvl=info msg="join connections" obj=join id=1945e62d6a67 l=[::1]:5173 r=46.251.201.162:61874
t=2026-06-06T20:26:29+0600 lvl=info msg="join connections" obj=join id=37fa56f94ebb l=[::1]:5173 r=178.217.173.234:56165
t=2026-06-06T20:26:38+0600 lvl=info msg="join connections" obj=join id=f165df10fb8a l=[::1]:5173 r=178.217.173.234:55841
t=2026-06-06T20:26:44+0600 lvl=info msg="join connections" obj=join id=e78a759cef65 l=[::1]:5173 r=178.217.173.234:55985
t=2026-06-06T20:26:44+0600 lvl=info msg="join connections" obj=join id=54e5d51eb445 l=[::1]:5173 r=178.217.173.234:55841
t=2026-06-06T20:26:44+0600 lvl=info msg="join connections" obj=join id=623d8d017467 l=[::1]:5173 r=46.251.201.162:61852
t=2026-06-06T20:27:03+0600 lvl=info msg="join connections" obj=join id=8d359e82d242 l=[::1]:5173 r=178.217.173.234:62217
t=2026-06-06T20:27:03+0600 lvl=info msg="join connections" obj=join id=1f78f42f23a0 l=[::1]:5173 r=178.217.173.234:55841
t=2026-06-06T20:27:03+0600 lvl=info msg="join connections" obj=join id=33562d7a17d5 l=[::1]:5173 r=178.217.173.234:55985
t=2026-06-06T20:27:03+0600 lvl=info msg="join connections" obj=join id=83ca1b74bc94 l=[::1]:5173 r=46.251.201.162:61875
t=2026-06-06T20:27:03+0600 lvl=info msg="join connections" obj=join id=1ca2faf05bb1 l=[::1]:5173 r=178.217.173.234:56177
t=2026-06-06T20:27:03+0600 lvl=info msg="join connections" obj=join id=71a9f180da2b l=[::1]:5173 r=46.251.201.162:61852
t=2026-06-06T20:27:05+0600 lvl=info msg="join connections" obj=join id=928b65aa869d l=[::1]:5173 r=178.217.173.234:55841
t=2026-06-06T20:27:07+0600 lvl=info msg="join connections" obj=join id=40c4ca072d4f l=[::1]:5173 r=178.217.173.234:55841
t=2026-06-06T20:27:07+0600 lvl=info msg="join connections" obj=join id=e108c0a3e5d9 l=[::1]:5173 r=178.217.173.234:55841
t=2026-06-06T20:27:09+0600 lvl=info msg="join connections" obj=join id=86a26cf00755 l=[::1]:5173 r=178.217.173.234:62558
t=2026-06-06T20:27:10+0600 lvl=info msg="join connections" obj=join id=09e9910460ce l=[::1]:5173 r=178.217.173.234:56202
t=2026-06-06T20:27:11+0600 lvl=info msg="join connections" obj=join id=60ee18d9450b l=[::1]:5173 r=178.217.173.234:56249
t=2026-06-06T20:27:14+0600 lvl=info msg="join connections" obj=join id=ec85bf4c1336 l=[::1]:5173 r=46.251.201.162:61876
t=2026-06-06T20:27:36+0600 lvl=info msg="join connections" obj=join id=ed365609699d l=[::1]:5173 r=178.217.173.234:56216
t=2026-06-06T20:27:36+0600 lvl=info msg="join connections" obj=join id=a676d0e7a535 l=[::1]:5173 r=46.251.201.162:61879
